PDFファイル,ページ番号,画像インデックス,図番号,x0_diff,y0_diff,x1_diff,y1_diff
sample1.pdf,1,0,【図 1-1】,0.09013,27.73770,418.29015,299.02109
sample1.pdf,2,0,【図 1-2】,0.09013,34.20291,418.29015,238.43628
sample1.pdf,3,0,【図 1-3】,0.09013,27.52356,391.09013,335.35692
sample1.pdf,4,0,【図 1-4】,0.09013,25.96262,418.29015,174.29599
sample1.pdf,4,1,【図 1-5】,0.09013,26.84235,418.29015,173.32568
sample1.pdf,5,0,【図 1-6】,0.09013,29.32263,418.29015,206.85602
sample1.pdf,6,0,【図 1-7】,0.09013,33.96346,386.09013,328.79681
sample1.pdf,7,0,【図 1-8】,0.09013,27.77762,418.29015,299.06100
sample2.pdf,1,0,【図 2-1】,0.09013,28.09412,418.29015,300.43546
sample2.pdf,2,0,【図 2-2】,0.09013,28.62384,418.29015,371.86517
sample2.pdf,3,0,【図 2-3】,0.09013,30.12363,417.84013,316.34985
sample2.pdf,4,0,【図 2-4】,0.09013,30.09375,418.29015,316.63507
sample3.pdf,1,0,【図 3-1】,0.09013,19.70160,224.03624,141.81393
sample3.pdf,1,1,【図 3-2】,-144.42581,21.20157,42.72418,104.54611
sample3.pdf,1,2,【図 3-3】,-98.59305,23.20160,141.25696,210.56393
